"20_CAM_01" "20_CAM_02" "20_CAM_03" "20_CAM_04" "20_CAM_05" "21_CAM_01" "21_CAM_02" "21_CAM_03" "21_CAM_04" "21_CAM_05" "21_CAM_06" "21_CAM_07" "21_CAM_08" "21_CAM_09" "21_CAM_10" "21_CAM_11" "21_CAM_12" "21_CAM_13" "21_CAM_16" "21_CAM_17" "21_CAM_18" "22_CAM_01" "22_CAM_02" "22_CAM_03" "22_CAM_04" "22_CAM_05" "22_CAM_06" "22_CAM_07" "22_CAM_08" "22_CAM_09" "22_CAM_10" "22_CAM_11" "22_CAM_12" "22_CAM_13" "22_CAM_14" "22_CAM_15" "22_CAM_16" "22_CAM_17" "22_CAM_18" "22_CAM_19" "22_CAM_20" "22_CAM_21"
"Aspergillus_piperis" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"Aspergillus_qilianyuensis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Aspergillus_salwaensis" 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Aspergillus_terreus" 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Astrocystis_bambusae" 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 1 19 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Astrocystis_bambusicola" 0 223 1895 1100 1547 9 179 0 0 0 0 0 0 0 0 0 4267 14796 0 0 0 0 4711 2695 362 0 103 0 0 0 350 0 0 0 0 0 0 0 0 0 0 0
"Athallia_alnetorum" 0 0 0 0 4 1 2 444 1 0 0 0 0 0 2 0 0 0 0 5 0 0 0 2 0 11 1 0 0 0 0 3 0 1 0 0 0 0 0 0 1 1
"Atrocalyx_acutisporus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 165 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Atrocalyx_lignicola" 0 0 0 0 0 0 0 0 1 0 0 0 2 10 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Atrocalyx_nordicus" 1 0 0 0 0 5 1 10 1 0 1 0 0 0 0 0 0 0 40 1 0 0 4 26 1 14 1 1 0 0 0 0 0 0 3 0 0 0 0 0 0 1
"Aureobasidium_bupleuri" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 16 0 0 0 0 0 0 0 0 0 8397 26 350 0 0 0 0
"Aureobasidium_mangrovei" 0 0 0 0 0 0 0 19 0 0 0 0 0 0 0 0 0 0 5777 24 0 0 0 1 0 0 0 0 0 0 0 0 0 0 4 262 0 107 0 0 0 0
