Host_code	Host_community	GPS_localisation	Locality	Country	Ecosystem	Collection_date	Sequencing_plate	Additional_information	Biomass	Grid_code	Vegetation	Litter	Soil	Rocks
20_CAM_040400	"Juncus maritimus_10;Lactuca saligna_3;Elytrigia sp._3;Brachypodium phoenicoides_10"	43.476804010570049,4.663856970146298	Arles	France	Mediterranean grassland	2020-06-22	20CAM-2_B03		15.3	20_CAM_04	25	75	0	
20_CAM_040500	"Juncus maritimus_20;Elytrigia sp._20;Brachypodium phoenicoides_20"	43.476804010570049,4.663856970146298	Arles	France	Mediterranean grassland	2020-06-22	20CAM-2_A02		26.44	20_CAM_04	75	15	0	
20_CAM_040600	"Juncus maritimus_20;Elytrigia sp._20;Brachypodium phoenicoides_20;Aristolochia rotunda_3;Iris reichenbachiana_10;Limonium narbonense_0,5;Ranunculus bulbosus_0,5"	43.476804010570049,4.663856970146298	Arles	France	Mediterranean grassland	2020-06-22	20CAM-2_F02		32.95	20_CAM_04	90	10	0	
20_CAM_040700	"Juncus maritimus_37,5;Elytrigia sp._37,5;Crepis pulchra_0,5;Brachypodium phoenicoides_3;Sherardia arvensis_0,5"	43.476804010570049,4.663856970146298	Arles	France	Mediterranean grassland	2020-06-22	20CAM-2_C01		24.57	20_CAM_04	75	25	0	
20_CAM_040800	"Juncus maritimus_10;Elytrigia sp._10;Brachypodium phoenicoides_87,5;Aristolochia rotunda_0,5;Ranunculus bulbosus_0,5;Sherardia arvensis_0,5;Dactylis glomerata subsp. hispanica_0,5"	43.476804010570049,4.663856970146298	Arles	France	Mediterranean grassland	2020-06-22	20CAM-2_H01		19.52	20_CAM_04	80	20	0	
20_CAM_040900	"Juncus maritimus_3;Elytrigia sp._3;Brachypodium phoenicoides_62,5;Iris reichenbachiana_15-20"	43.476804010570049,4.663856970146298	Arles	France	Mediterranean grassland	2020-06-22	20CAM-3_E12		13.32	20_CAM_04	80	20	0	
20_CAM_050100	"Juncus maritimus_37,5;Elytrigia sp._37,5;Parapholis filiformis_3;Torilis nodosa subsp. nodosa_0,5;Geranium dissectum_0,5;Lysimachia arvensis_0,5;Limonium narbonense_0,5"	43.476521037518978,4.662497006356716	Arles	France	Mediterranean grassland	2020-06-23	20CAM-3_G11		49.67	20_CAM_05	70	30	0	
20_CAM_050200	"Juncus maritimus_87,5;Elytrigia sp._20;Galium spurium_0,5"	43.476521037518978,4.662497006356716	Arles	France	Mediterranean grassland	2020-06-23	20CAM-3_D10		81.77	20_CAM_05	95	5	0	
20_CAM_050300	"Juncus maritimus_62,5;Brachypodium phoenicoides_20"	43.476521037518978,4.662497006356716	Arles	France	Mediterranean grassland	2020-06-23	20CAM-3_A09		54.84	20_CAM_05	90	10	0	
20_CAM_050400	"Juncus maritimus_20;Elytrigia sp._62,5"	43.476521037518978,4.662497006356716	Arles	France	Mediterranean grassland	2020-06-23	20CAM-3_F09		14.69	20_CAM_05	75	25	0	
