species,LB_NOM,NOM_VALIDE,CD_NOM,REGNE,PHYLUM,CLASSE,ORDRE,FAMILLE,SOUS_FAMILLE,TRIBU,RANG
Sabulina.mediterranea,Sabulina mediterranea,"Sabulina mediterranea (Ledeb. ex Link) Rchb., 1842",119748,Plantae,0,Equisetopsida,Caryophyllales,Caryophyllaceae,0,0,ES
Sabulina.tenuifolia,Sabulina tenuifolia,"Sabulina tenuifolia (L.) Rchb., 1832",119753,Plantae,0,Equisetopsida,Caryophyllales,Caryophyllaceae,0,0,ES
Sagina.apetala,Sagina apetala,"Sagina apetala Ard., 1763",119780,Plantae,0,Equisetopsida,Caryophyllales,Caryophyllaceae,0,0,ES
Sagina.maritima,Sagina maritima,"Sagina maritima Don, 1806",119805,Plantae,0,Equisetopsida,Caryophyllales,Caryophyllaceae,0,0,ES
Salicornia.alpini,Salicornia alpini,"Salicornia alpini Lag., 1817",621773,Plantae,0,Equisetopsida,Caryophyllales,Amaranthaceae,Salicornioideae,0,ES
Salicornia.europaea,Salicornia europaea,"Salicornia depressa Standl., 1916",771578,Plantae,0,Equisetopsida,Caryophyllales,Amaranthaceae,Salicornioideae,0,ES
Salicornia.fruticosa,Salicornia fruticosa,"Salicornia fruticosa (L.) L., 1762",119883,Plantae,0,Equisetopsida,Caryophyllales,Amaranthaceae,Salicornioideae,0,ES
Salicornia.sp.,Salicornia,"Salicornia L., 1753",197333,Plantae,0,Equisetopsida,Caryophyllales,Amaranthaceae,Salicornioideae,0,GN
Salvia.verbenaca.subsp..clandestina,Salvia verbenaca subsp. clandestina,"Salvia verbenaca subsp. clandestina (L.) Batt., 1890",140527,Plantae,0,Equisetopsida,Lamiales,Lamiaceae,Nepetoideae,Mentheae,SSES
Scabiosa.atropurpurea,Scabiosa atropurpurea,"Scabiosa atropurpurea L., 1753",121316,Plantae,0,Equisetopsida,Dipsacales,Caprifoliaceae,0,0,ES
Schedonorus.arundinaceus,Schedonorus arundinaceus,"Schedonorus arundinaceus (Schreb.) Dumort., 1824 [nom. cons.]",717533,Plantae,0,Equisetopsida,Poales,Poaceae,Pooideae,Poeae,ES
Schedonorus.pratensis,Schedonorus pratensis,"Schedonorus pratensis (Huds.) P.Beauv., 1812",121479,Plantae,0,Equisetopsida,Poales,Poaceae,Pooideae,Poeae,ES
Schoenus.nigricans,Schoenus nigricans,"Schoenus nigricans L., 1753",121581,Plantae,0,Equisetopsida,Poales,Cyperaceae,Cyperoideae,Schoeneae,ES
Scolymus.hispanicus,Scolymus hispanicus,"Scolymus hispanicus L., 1753",121901,Plantae,0,Equisetopsida,Asterales,Asteraceae,Cichorioideae,Cichorieae,ES
Scorpiurus.muricatus,Scorpiurus muricatus,"Scorpiurus subvillosus L., 1753",121929,Plantae,0,Equisetopsida,Fabales,Fabaceae,Papilionoideae,Loteae,ES
Senecio.vulgaris.subsp..vulgaris,Senecio vulgaris subsp. vulgaris,"Senecio vulgaris subsp. vulgaris L., 1753",140994,Plantae,0,Equisetopsida,Asterales,Asteraceae,Asteroideae,Senecioneae,SSES
Sherardia.arvensis,Sherardia arvensis,"Sherardia arvensis L., 1753",123164,Plantae,0,Equisetopsida,Gentianales,Rubiaceae,Rubioideae,Rubieae,ES
Sideritis.romana,Sideritis romana,"Sideritis romana L., 1753",123325,Plantae,0,Equisetopsida,Lamiales,Lamiaceae,Lamioideae,Stachydeae,ES
Silene.italica,Silene italica,"Silene italica (L.) Pers., 1805",123512,Plantae,0,Equisetopsida,Caryophyllales,Caryophyllaceae,0,0,ES
Solanum.villosum,Solanum villosum,"Solanum villosum Mill., 1768",124132,Plantae,0,Equisetopsida,Solanales,Solanaceae,Solanoideae,Solaneae,ES
Sonchus.bulbosus,Sonchus bulbosus,"Sonchus bulbosus (L.) N.Kilian & Greuter, 2003",611481,Plantae,0,Equisetopsida,Asterales,Asteraceae,Cichorioideae,Cichorieae,ES
Sonchus.maritimus,Sonchus maritimus,"Sonchus maritimus L., 1759",124256,Plantae,0,Equisetopsida,Asterales,Asteraceae,Cichorioideae,Cichorieae,ES
Sonchus.oleraceus,Sonchus oleraceus,"Sonchus asper subsp. asper (L.) Hill, 1769",124262,Plantae,0,Equisetopsida,Asterales,Asteraceae,Cichorioideae,Cichorieae,ES
Sonchus.sp.,Sonchus,"Sonchus L., 1753",197758,Plantae,0,Equisetopsida,Asterales,Asteraceae,Cichorioideae,Cichorieae,GN
Spartina.patens,Spartina patens,"Sporobolus pumilus (Roth) P.M.Peterson & Saarela, 2014",630704,Plantae,0,Equisetopsida,Poales,Poaceae,Chloridoideae,Zoysieae,ES
Spergularia.bocconei,Spergularia bocconei,"Spergularia bocconei (Scheele) Graebn., 1919",124545,Plantae,0,Equisetopsida,Caryophyllales,Caryophyllaceae,0,0,ES
Spergularia.sp.,Spergularia,"Spergularia (Pers.) J.Presl & C.Presl, 1819",197796,Plantae,0,Equisetopsida,Caryophyllales,Caryophyllaceae,0,0,GN
Sporobolus.pungens,Sporobolus pungens,"Sporobolus pungens (Schreb.) Kunth, 1829",124728,Plantae,0,Equisetopsida,Poales,Poaceae,Chloridoideae,Zoysieae,ES
Stellaria.pallida,Stellaria pallida,"Stellaria pallida (Dumort.) Piré, 1863",125023,Plantae,0,Equisetopsida,Caryophyllales,Caryophyllaceae,0,0,ES
Suaeda.spicata,Suaeda spicata,"Suaeda spicata (Willd.) Moq., 1831",125261,Plantae,0,Equisetopsida,Caryophyllales,Amaranthaceae,Suaedoideae,0,ES
Suaeda.splendens,Suaeda splendens,"Suaeda splendens (Pourr.) Gren. & Godr., 1855",125262,Plantae,0,Equisetopsida,Caryophyllales,Amaranthaceae,Suaedoideae,0,ES
Taraxacum.officinale.gpe,Taraxacum officinale gpe,Taraxacum officinale gpe,198226,Plantae,0,Equisetopsida,Asterales,Asteraceae,Cichorioideae,Cichorieae,GN
Taraxacum.sp.,Taraxacum,"Taraxacum F.H.Wigg., 1780",198226,Plantae,0,Equisetopsida,Asterales,Asteraceae,Cichorioideae,Cichorieae,GN
Torilis.nodosa.subsp..nodosa,Torilis nodosa subsp. nodosa,"Torilis nodosa subsp. nodosa (L.) Gaertn., 1788",141803,Plantae,0,Equisetopsida,Apiales,Apiaceae,Apioideae,Scandiceae,SSES
Tragopogon.pratensis.subsp..orientalis,Tragopogon pratensis subsp. orientalis,"Tragopogon pratensis subsp. orientalis (L.) Čelak., 1871",141820,Plantae,0,Equisetopsida,Asterales,Asteraceae,Cichorioideae,Cichorieae,SSES
Tragopogon.sp.,Tragopogon,"Tragopogon L., 1753",198548,Plantae,0,Equisetopsida,Asterales,Asteraceae,Cichorioideae,Cichorieae,GN
Trifolium.campestre,Trifolium campestre,"Trifolium campestre Schreb., 1804",127259,Plantae,0,Equisetopsida,Fabales,Fabaceae,Papilionoideae,0,ES
Trifolium.fragiferum,Trifolium fragiferum,"Trifolium fragiferum L., 1753",127314,Plantae,0,Equisetopsida,Fabales,Fabaceae,Papilionoideae,0,ES
Trifolium.lappaceum,Trifolium lappaceum,"Trifolium lappaceum L., 1753",127361,Plantae,0,Equisetopsida,Fabales,Fabaceae,Papilionoideae,0,ES
